datatype,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,WT04,WT06,PSUN,TSUN,PGTM,WT05,WT07,WT09,WESD,WT10
ADPT,1.0,-0.1625344726653712,0.3298818982605175,0.930201282611139,-0.15553651168977944,0.17262574825988009,0.5213040967846564,0.45658239104517623,0.49409911978428095,-0.11329750296347,-0.19950462721183237,0.7277265830265622,0.6586949708495999,0.7924281839827906,-0.13967764585686804,-0.14447749226276888,-0.058878426355477645,-0.05206152314782275,,,,,,,-0.24871282361513905,-0.15056384742157305,0.16314503572512995,,,,-1.0,
ASLP,-0.1625344726653712,1.0,0.2847075602958516,-0.2627916612825301,-0.17197339775749013,-0.12686034439844807,0.13952430448819506,0.11433012416129515,0.15648407529795563,-0.02757978080836088,0.061173896833376394,-0.35862350272380983,-0.3478947983343247,-0.335879775068205,-0.1499126765432081,-0.14535233039445664,-0.2836925243229471,-0.3201504223566491,,,,,,,0.17728820361046913,0.158381254696539,-0.12604372344102413,,,,-0.9999999999999999,
ASTP,0.3298818982605175,0.2847075602958516,1.0,0.22469413483700834,-0.052712858325913964,0.0614128508409518,0.38107920147988433,0.3856599436518437,0.32278113366615285,-0.04346973457397639,-0.03905705518200427,0.04634713928484446,-0.028361137669400713,0.15835329900762124,0.03174127100077817,0.03813895596668994,-0.1465305014523829,-0.15224275939191648,,,,,,,0.2557713592881292,0.23063227521127758,0.020480151141100595,,,,-1.0,
AWBT,0.930201282611139,-0.2627916612825301,0.22469413483700834,1.0,-0.19630034092260526,0.10095261838413755,0.19552483373239543,0.16321087633748152,0.1761512579225215,-0.15745428148360507,-0.2531200708098188,0.9195114179988673,0.874022480764794,0.9453588785196181,-0.1316278732314666,-0.13312322527661602,-0.07130560025714117,-0.05075038331768732,,,,,,,-0.19700599937269994,-0.09134607725545797,0.15991148300673638,,,,-1.0,
AWND,-0.15553651168977944,-0.17197339775749013,-0.052712858325913964,-0.19630034092260526,1.0,0.09799071077419266,0.023801006983737154,0.07219453521359682,0.02497059853334923,0.11639321820744286,0.05985035142729433,-0.19156438365358558,-0.23240030418869298,-0.18446530653399792,0.08632893840306202,0.07351189270647636,0.8031273335257603,0.7641488137331557,,,,,,,0.11533593396548679,0.10537863106033175,-0.03201098317836667,,,,-1.0,
PRCP,0.17262574825988009,-0.12686034439844807,0.0614128508409518,0.10095261838413755,0.09799071077419266,1.0,0.31696178633151184,0.32657316556945687,0.234357393230993,0.11227014938835272,-0.0034951836071364798,0.015244552050484155,-0.040755685011746305,0.0464499423924754,-0.054735818150856486,-0.0628189109463821,0.2066151275445524,0.21581225857291528,,,,,,,-0.3337761976749338,-0.3240638045089903,0.02528609942865255,,,,0.9999999999999999,
RHAV,0.5213040967846564,0.13952430448819506,0.38107920147988433,0.19552483373239543,0.023801006983737154,0.31696178633151184,1.0,0.9288593139374595,0.9079517139898707,0.08010705821512312,0.049102732292724674,-0.17173590163008962,-0.2578525936186563,-0.03718073556215608,-0.09306179461941706,-0.10388438096534758,0.006044202728863589,-0.023911639176571638,,,,,,,-0.42406655143258953,-0.4077132598466613,0.07643165986149214,,,,1.0,
RHMN,0.45658239104517623,0.11433012416129515,0.3856599436518437,0.16321087633748152,0.07219453521359682,0.32657316556945687,0.9288593139374595,1.0,0.7459710752244928,0.07913064717410574,0.07330048653464931,-0.16546141255405503,-0.2849701877140904,-0.012316649542181054,-0.11760203936984248,-0.1262254420581,0.010516154433723822,-0.015366722776774398,,,,,,,-0.4410872449882846,-0.4220594529043322,0.04934765400056434,,,,1.0,
RHMX,0.49409911978428095,0.15648407529795563,0.32278113366615285,0.1761512579225215,0.02497059853334923,0.234357393230993,0.9079517139898707,0.7459710752244928,1.0,0.06017662065934715,0.023628316145459738,-0.17893207232245323,-0.22453706320061023,-0.0898614767766787,-0.05391281682621709,-0.06766340019881788,0.02189137024149108,-0.005485110323903275,,,,,,,-0.283063239273097,-0.30145629858027667,0.07326211671445569,,,,1.0,
SNOW,-0.11329750296347,-0.02757978080836088,-0.04346973457397639,-0.15745428148360507,0.11639321820744286,0.11227014938835272,0.08010705821512312,0.07913064717410574,0.06017662065934715,1.0,0.2550576043461805,-0.160043567199364,-0.17440555528955817,-0.15737256976692773,-0.004167057704343401,-0.005709764826570834,0.08178440113848848,0.06998482812653203,,,,,,,,,0.05438878260919078,,,,1.0,
